 4.93000000e-08 -8.98156813e-07  4.93000000e-08 -6.14319538e-07 
 5.00000000e-08 -8.57790716e-07  5.00000000e-08 -6.51258377e-07 
 5.01400000e-08 -8.57796800e-07  5.01400000e-08 -6.51243152e-07 
 5.04200000e-08 -8.57786688e-07  5.04200000e-08 -6.51266194e-07 
 5.09800000e-08 -8.57786686e-07  5.09800000e-08 -6.51266197e-07 
 5.21000000e-08 -8.57786682e-07  5.21000000e-08 -6.51266205e-07 
 5.41000000e-08 -8.57786682e-07  5.41000000e-08 -6.51266205e-07 
 5.61000000e-08 -8.57786682e-07  5.61000000e-08 -6.51266205e-07 
 5.81000000e-08 -8.57786682e-07  5.81000000e-08 -6.51266205e-07 
 6.01000000e-08 -8.57786682e-07  6.01000000e-08 -6.51266205e-07 
 6.21000000e-08 -8.57786682e-07  6.21000000e-08 -6.51266205e-07 
 6.41000000e-08 -8.57786682e-07  6.41000000e-08 -6.51266205e-07 
 6.61000000e-08 -8.57786682e-07  6.61000000e-08 -6.51266205e-07 
 6.81000000e-08 -8.57786682e-07  6.81000000e-08 -6.51266205e-07 
 7.01000000e-08 -8.57786682e-07  7.01000000e-08 -6.51266205e-07 
 7.21000000e-08 -8.57786682e-07  7.21000000e-08 -6.51266205e-07 
 7.41000000e-08 -8.57786682e-07  7.41000000e-08 -6.51266205e-07 
 7.61000000e-08 -8.57786682e-07  7.61000000e-08 -6.51266205e-07 
 7.81000000e-08 -8.57786682e-07  7.81000000e-08 -6.51266205e-07 
 8.01000000e-08 -8.57786682e-07  8.01000000e-08 -6.51266205e-07 
 8.21000000e-08 -8.57786682e-07  8.21000000e-08 -6.51266205e-07 
 8.41000000e-08 -8.57786682e-07  8.41000000e-08 -6.51266205e-07 
 8.61000000e-08 -8.57786682e-07  8.61000000e-08 -6.51266205e-07 
 8.81000000e-08 -8.57786682e-07  8.81000000e-08 -6.51266205e-07 
 9.01000000e-08 -8.57786682e-07  9.01000000e-08 -6.51266205e-07 
 9.21000000e-08 -8.57786682e-07  9.21000000e-08 -6.51266205e-07 
 9.41000000e-08 -8.57786682e-07  9.41000000e-08 -6.51266205e-07 
 9.61000000e-08 -8.57786682e-07  9.61000000e-08 -6.51266205e-07 
 9.80000000e-08 -8.57786682e-07  9.80000000e-08 -6.51266205e-07 
 9.82000000e-08 -8.46179933e-07  9.82000000e-08 -6.61987207e-07 
 9.86000000e-08 -8.22816205e-07  9.86000000e-08 -6.83787743e-07 
 9.93000000e-08 -7.93307811e-07  9.93000000e-08 -7.10914970e-07 
 1.00000000e-07 -7.80705275e-07  1.00000000e-07 -7.21577168e-07 
 1.00140000e-07 -7.80634218e-07  1.00140000e-07 -7.21640416e-07 
 1.00420000e-07 -7.80736763e-07  1.00420000e-07 -7.21545697e-07 
 1.00980000e-07 -7.80736948e-07  1.00980000e-07 -7.21545514e-07 
 1.02100000e-07 -7.80737351e-07  1.02100000e-07 -7.21545112e-07 
 1.04100000e-07 -7.80737351e-07  1.04100000e-07 -7.21545112e-07 
 1.06100000e-07 -7.80737351e-07  1.06100000e-07 -7.21545112e-07 
 1.08100000e-07 -7.80737351e-07  1.08100000e-07 -7.21545112e-07 
 1.10100000e-07 -7.80737351e-07  1.10100000e-07 -7.21545112e-07 
 1.12100000e-07 -7.80737351e-07  1.12100000e-07 -7.21545112e-07 
 1.14100000e-07 -7.80737351e-07  1.14100000e-07 -7.21545112e-07 
 1.16100000e-07 -7.80737351e-07  1.16100000e-07 -7.21545112e-07 
 1.18100000e-07 -7.80737351e-07  1.18100000e-07 -7.21545112e-07 
 1.20100000e-07 -7.80737351e-07  1.20100000e-07 -7.21545112e-07 
 1.22100000e-07 -7.80737351e-07  1.22100000e-07 -7.21545112e-07 
 1.24100000e-07 -7.80737351e-07  1.24100000e-07 -7.21545112e-07 
 1.26100000e-07 -7.80737351e-07  1.26100000e-07 -7.21545112e-07 
 1.28100000e-07 -7.80737351e-07  1.28100000e-07 -7.21545112e-07 
 1.30100000e-07 -7.80737351e-07  1.30100000e-07 -7.21545112e-07 
 1.32100000e-07 -7.80737351e-07  1.32100000e-07 -7.21545112e-07 
 1.34100000e-07 -7.80737351e-07  1.34100000e-07 -7.21545112e-07 
 1.36100000e-07 -7.80737351e-07  1.36100000e-07 -7.21545112e-07 
 1.38100000e-07 -7.80737351e-07  1.38100000e-07 -7.21545112e-07 
 1.40100000e-07 -7.80737351e-07  1.40100000e-07 -7.21545112e-07 
 1.42100000e-07 -7.80737351e-07  1.42100000e-07 -7.21545112e-07 
 1.44100000e-07 -7.80737351e-07  1.44100000e-07 -7.21545112e-07 
 1.46100000e-07 -7.80737351e-07  1.46100000e-07 -7.21545112e-07 
 1.48000000e-07 -7.80737351e-07  1.48000000e-07 -7.21545112e-07 
 1.48200000e-07 -7.77909946e-07  1.48200000e-07 -7.23874551e-07 
 1.48600000e-07 -7.73360958e-07  1.48600000e-07 -7.27561736e-07 
 1.49300000e-07 -7.66668354e-07  1.49300000e-07 -7.32986123e-07 
 1.50000000e-07 -7.61185756e-07  1.50000000e-07 -7.37516139e-07 
 1.50140000e-07 -7.61180344e-07  1.50140000e-07 -7.37515855e-07 
 1.50420000e-07 -7.61197368e-07  1.50420000e-07 -7.37504831e-07 
 1.50980000e-07 -7.61197366e-07  1.50980000e-07 -7.37504833e-07 
 1.52100000e-07 -7.61197377e-07  1.52100000e-07 -7.37504823e-07 
 1.54100000e-07 -7.61197377e-07  1.54100000e-07 -7.37504823e-07 
 1.56100000e-07 -7.61197377e-07  1.56100000e-07 -7.37504823e-07 
 1.58100000e-07 -7.61197377e-07  1.58100000e-07 -7.37504823e-07 
 1.60100000e-07 -7.61197377e-07  1.60100000e-07 -7.37504823e-07 
 1.62100000e-07 -7.61197377e-07  1.62100000e-07 -7.37504823e-07 
